,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior Status,Shares Short (prior ,Status
0,2004-01-30 19:01:02,1075460462.0,a,36.65,0.0,1131.13,0.0,0.0,0.407,N/A,2.8,6.01,29.56,11.97,24.95,47.81,12.803,17450000000.0,16520000000.0,25.83,3.84,2.73,N/A,2.73,2290000000.0,N/A,1790000000.0,3.774,N/A,0.8,1610000000.0,3.37,1150000000.0,2.04,5.93,144000000.0,2.474,10.01,63.03,9300000.0,3.923,2.17,,6930000.0,underperform
1,2004-04-13 04:07:11,1081800431.0,a,31.87,-13.042291950886762,1129.44,-0.14940811400988874,-12.892883836876873,0.375,N/A,2.43,4.98,25.56,6.2,23.59,46.82,13.16,15320000000.0,14770000000.0,20.83,2.89,2.35,N/A,2.35,2290000000.0,N/A,1610000000.0,3.391,N/A,0.8,1680000000.0,3.49,1150000000.0,2.284,6.394,144000000.0,2.496,10.0,66.79,7520000.0,2.328,1.74,,9170000.0,underperform
2,2004-12-13 21:37:34,1102945054.0,a,23.84,-25.196109193598996,1198.68,6.130471738206545,-31.32658093180554,0.323,33.58,1.61,3.24,4.86,5.38,5.26,10.92,14.61,11610000000.0,10370000000.0,15.79,1.62,1.44,15.3,1.44,2290000000.0,15.3,349000000.0,0.71,N/A,0.8,2320000000.0,4.75,1150000000.0,2.441,7.32,483000000.0,2.547,20.0,66.68,6930000.0,2.638,1.78,,6540000.0,underperform
3,2005-01-22 05:17:19,1106342239.0,a,21.8,-8.557046979865767,1184.63,-1.1721226682684247,-7.384924311597342,0.322,30.7,1.52,3.04,4.86,5.38,5.26,10.92,14.61,10710000000.0,9760000000.0,14.34,1.51,1.36,14.4,1.36,3120000000.0,14.4,349000000.0,0.71,N/A,18.6,2320000000.0,4.71,1150000000.0,2.446,7.329,663000000.0,2.166,10.12,67.08,7040000.0,2.385,1.6,,6930000.0,underperform
4,2006-01-09 02:35:16,1136745316.0,a,34.65,58.94495412844035,1290.15,8.907422570760488,50.03753155767986,2.169,52.82,3.31,4.26,6.38,3.58,1.68,3.69,10.403,17120000000.000002,14870000000.0,N/A,1.81,2.89,35.665,2.89,3120000000.0,35.665,141000000.0,0.66,64.9,22.8,2250000000.0,4.555,2.169,2.169,8.095,890000000.0,N/A,0.57,70.4,10980000.0,2.3,2.2,,5840000.0,outperform
5,2006-06-21 11:01:16,1150858876.0,a,32.18,-7.128427128427125,1252.2,-2.9415184280897604,-4.186908700337365,0.368,5.08,2.53,3.37,56.5,9.38,12.15,28.88,11.414,13700000000.0,12620000000.0,N/A,1.26,2.33,7.549,2.33,2520000000.0,7.549,1150000000.0,6.33,21.1,12.0,2660000000.0,6.24,1500000000.0,2.565,9.563,725000000.0,2.75,5.99,74.8,6920000.0,3.4,1.6,,4620000.0,underperform
6,2006-08-19 10:42:01,1155955321.0,a,31.8,-1.180857675574888,1295.43,3.4523239099185448,-4.633181585493433,0.396,4.63,2.54,3.38,56.57,8.99,4.54,34.26,12.408,13540000000.0,12260000000.0,N/A,1.21,2.18,17.215,2.18,2520000000.0,17.215,1330000000.0,6.87,118.3,13.9,2250000000.0,5.499,1500000000.0,2.513,9.563,652000000.0,2.76,6.24,72.7,7350000.0,2.5,1.8,,9340000.0,underperform
7,2007-02-20 17:46:56,1171964816.0,a,32.48,2.1383647798742014,1459.68,12.679187605659898,-10.540822825785696,0.411,4.33,2.68,3.67,66.5,11.12,13.7,37.19,11.538,13220000000.0,12580000000.0,N/A,1.13,2.53,7.322,2.53,2660000000.0,7.322,1440000000.0,7.499,496.0,21.0,2260000000.0,5.556,1500000000.0,2.573,8.941,634000000.0,2.75,8.76,67.6,5910000.0,2.8,1.5,,5150000.0,underperform
8,2007-04-12 05:07:51,1176325671.0,a,34.62,6.588669950738919,1447.8,-0.813877014140093,7.402546964879012,0.411,4.62,2.77,3.87,66.5,11.12,13.7,37.19,11.538,13970000000.0,12500000000.0,N/A,1.13,2.51,7.275,2.51,2660000000.0,7.275,1440000000.0,7.5,496.0,21.0,2260000000.0,5.556,1500000000.0,2.573,9.03,634000000.0,2.75,6.26,72.0,5910000.0,2.8,1.5,,5150000.0,outperform
9,2008-01-23 19:28:50,1201087730.0,a,32.16,-7.105719237435011,1338.6,-7.542478242851226,0.4367590054162154,0.645,20.47,2.25,3.76,11.77,11.38,5.17,18.54,13.756,11950000000.0,12460000000.0,N/A,1.04,2.3,15.421,2.3,2970000000.0,15.421,638000000.0,1.57,20.8,8.9,1830000000.0,4.916,2089999999.9999998,2.207,8.741,969000000.0,1.55,1.49,73.8,3640000.0,1.9,1.0,,3510000.0,outperform
10,2008-02-14 04:44:34,1202935474.0,a,32.68,1.6169154228855822,1348.86,0.766472433886149,0.8504429889994332,0.645,20.8,2.18,3.64,11.77,11.38,5.17,18.54,13.756,12140000000.0,12090000000.0,N/A,1.02,2.23,14.966,2.23,2970000000.0,14.966,638000000.0,1.57,20.8,8.9,1830000000.0,4.916,2089999999.9999998,2.207,8.741,969000000.0,1.45,1.49,72.5,4890000.0,1.7,1.3,,3640000.0,outperform
11,2008-04-26 04:49:23,1209156563.0,a,31.53,-3.51897184822521,1379.93,2.3034265972747483,-5.822398445499958,0.67,20.59,2.07,3.65,10.99,11.3,5.33,17.8,14.362,11510000000.0,12080000000.0,N/A,1.0,2.18,14.748,2.18,2970000000.0,14.748,608000000.0,1.53,20.0,8.8,1560000000.0,4.265,2130000000.0,1.896,8.622,880000000.0,1.46,4.68,68.3,5420000.0,2.1,1.5,,N/A,underperform
